time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
fh,Cyprus Division 1,GOOD,GOOD,0,0,0,0,4,3,6,10,67,69,107,90,57%,43%,True
lh,Cyprus Division 1,GOOD,GOOD,1,1,0,0,3,0,3,4,31,36,58,44,55%,45%,True
fh,Israel Leumit Liga,GOOD,GOOD,1,0,0,0,4,2,3,5,72,116,128,180,38%,62%,False
lh,Israel Leumit Liga,GOOD,GOOD,2,0,0,0,2,1,2,2,36,45,64,69,41%,59%,True
fh,Israel Leumit Liga,GOOD,GOOD,1,1,0,0,1,2,7,3,100,63,147,108,61%,39%,False
lh,Israel Leumit Liga,GOOD,GOOD,1,2,0,0,1,1,3,1,47,28,66,50,58%,42%,False
fh,Greece Super League,GOOD,GOOD,0,0,0,0,7,2,12,8,36,21,98,81,57%,43%,False
lh,Greece Super League,GOOD,GOOD,1,0,0,0,1,1,1,4,14,5,52,39,58%,42%,False
fh,Jamaica Premier League,GOOD,GOOD,0,2,4,1,6,5,2,13,41,48,70,79,44%,56%,True
lh,Jamaica Premier League,GOOD,GOOD,0,3,2,3,2,2,2,3,22,18,36,34,52%,48%,False
fh,Brazil Campeonato C...,GOOD,GOOD,1,2,2,2,3,5,14,1,45,32,103,86,62%,38%,True
